id	detection_time	location_area	distance	detectors			NS_NS	NS_BH	BH_BH	mass_gap	terrestrial		
GW event	Detection time	Location area	Luminosity distance	Detector	False Alarm Rate	False Alarm chance in O4	NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial	Notes	Ref
GW event	 Detection	Location	Luminosity	Detector	False Alarm	False Alarm	Classification					Notes	Ref
	time (UTC)	area[n 23]	distance	[n 25]	Rate (Hz)	chance in O4[n 26]							
		(deg2)	(Mpc)[n 24]				NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial		
							[n 27]	[n 28]	[n 29]	[n 30]	[n 31]		
S230518h	2023-05-18 00:00:00	460; near the galactic plane	204±57	H,L	3.2 10−10	0.015	0.0	0.864	0.037	0.0	0.099	Detected during the engineering phase, before the official start of O4.	[80]
	12:59:07												
S230520ae	2023-05-20 00:00:00	1702	2014±663	H,L	3.1 10−9	0.133	0.0	0.0	~1.0	0.0	1.4e-7		[81]
	22:48:41												
S230522a	2023-05-22 00:00:00	24219	3102±1032	L	1.0 10−8	0.383	0.0	0.0	0.99973	0.00071	0.00027		[82]
	09:38:04												
S230522n	2023-05-22 00:00:00	29021	2221±870	L	6.5 10−9	0.261	0.0	0.0	0.993	0.0041	0.0069		[83]
	15:30:32												
S230524b	2023-05-24 00:00:00	24224	2437±891	L	8.3 10−7	~1.0[n 32]	0.0	0.0	0.725	0.0041	0.275		[84]
	06:13:20												
S230525a	2023-05-25 00:00:00	24219	1166±390	L	7.5 10−7	~1.0[n 33]	0.0	0.0	0.724	0.0082	0.276	Detected by only the Livingston detector, resulting in a bad sky localization.	[85]
	02:38:17												
S230527bv	2023-05-27 00:00:00	3318; mostly towards Canis Major, Monoceros, Canis Minor, or Hydra	3876±2027	H,L	2.1 10−7	0.9999[n 34]	0.0	0.0	0.882	0.0	0.118		[86]
	17:25:29												
S230528a	2023-05-28 00:00:00	1787	261±108	H,L	3.0 10−7	~1.0[n 35]	0.0053	0.011	0.0	0.626	0.357	The other component is a neutron star.	[87]
	02:27:14												
S230528ay	2023-05-28 00:00:00	97; towards Sculptor or Aquarius	?	H,L	7.0 10−7	~1.0[n 36]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting a millisecond at a frequency of hundreds of Hertz.	[88]
	11:10:53												
S230528bt	2023-05-28 00:00:00	6597	7412±2488	H,L	2.9 10−7	~1.0[n 37]	0.0	0.0	0.880	0.043	0.120		[89]
	14:51:29												
S230529ay	2023-05-29 00:00:00	25022	201±63	L	2.0 10−10	0.0092	0.0043	0.0089	0.0	0.916	0.070	The other component is a neutron star. Detected by only the Livingston detector, resulting in a bad sky localization.	[90]
	18:15:00												
